,Symbol,Latest Bond Rating,estimated_clean_price_SHCH,zero_curve_clean_price,log_linear_clean_price,cubic_zero_curve_clean_price,natural_cubic_curve_clean_price,log_cubic_curve_clean_price,monotonic_cubic_curve_clean_price,tol_valuation_ratio1,tol_valuation_ratio2,tol_valuation_ratio3,tol_valuation_ratio4,tol_valuation_ratio5,tol_valuation_ratio6,holding_1year_return
0,092100009.IB,AA+,100.6426,102.22365830000403,102.22478666206358,102.21898020204537,102.19865411848554,102.21882138384336,102.19865411848554,0.015709632899031135,0.015720844474045557,0.015663150614604264,0.015461187593380277,0.015661572573079003,0.015461187593380277,0.03536628336996017
1,1320015.IB,AAA,102.9477,103.10692910331896,103.10841886707678,103.10802598609777,103.11623499594945,103.10858872533697,103.11623499594945,0.0015466989871455495,0.001561170060883159,0.0015573537446467904,0.0016370933585641769,0.0015628200079941018,0.0016370933585641769,0.04958071708679199
2,1720012.IB,AAA,100.5281,100.54055271686038,100.54055140214395,100.54055766142973,100.54055496941452,100.54055649482783,100.54055496941452,0.00012387299531554382,0.0001238599172167021,0.0001239221812581295,0.00012389540252447006,0.00012391057652368355,0.00012389540252447006,0.0
3,1720017.IB,AAA,100.4354,100.47573987586088,100.47594321490467,100.47249024630932,100.47229966069523,100.47249902374438,100.47229966069523,0.0004016499746193092,0.0004036745500557887,0.0003692945546024488,0.00036739696058587455,0.00036938194844024025,0.00036739696058587455,0.0
4,1720018.IB,AAA,100.4436,100.58419691269239,100.58440122465026,100.58093173467407,100.58074023716709,100.58094055410645,100.58074023716709,0.0013997597924844175,0.0014017938888118385,0.0013672522159108539,0.0013653456981538718,0.0013673400207324738,0.0013653456981538718,0.0
5,1720022.IB,AAA,100.4365,100.65881904415735,100.65883718242227,100.65778288619872,100.65727574053675,100.65778524207866,100.65727574053675,0.002213528390150585,0.002213708984505429,0.002203211842295599,0.0021981624263763835,0.002203235298707787,0.0021981624263763835,0.0
6,1720032.IB,AA,100.6515,101.1223947135409,101.12244320052785,101.12084475070927,101.11969131310752,101.12083589676021,101.11969131310752,0.004678466923403035,0.004678948654792584,0.004663067621538362,0.004651607905570457,0.0046629796551488426,0.004651607905570457,0.0
7,1720048.IB,AA+,101.1791,101.34421161414909,101.34421508108147,101.3442562361237,101.34430807311026,101.34425511531948,101.34430807311026,0.0016318747068226852,0.0016319089721243516,0.0016323157265056981,0.0016328280555000993,0.0016323046490775148,0.0016328280555000993,0.0
8,1720050.IB,AA,100.9198,101.62086920288658,101.62093347018106,101.62112734162594,101.62186648463191,101.62113322200057,101.62186648463191,0.006946795404733127,0.0069474322202487775,0.0069493532649285965,0.006956677328253857,0.006949411532727679,0.006956677328253857,0.0
9,1720052.IB,AAA,101.0718,101.02936031351639,101.02936375901744,101.02940465965379,101.0294561762025,101.029403545778,101.0294561762025,0.00041989641505943377,0.00041986232542166445,0.00041945765630179365,0.00041894795380605576,0.0004194686769405567,0.00041894795380605576,0.0
10,1720054.IB,AAA,101.2838,101.34431095878118,101.34437490318564,101.34456780058689,101.3453032300106,101.34457365141749,101.3453032300106,0.0005974396574889531,0.0005980709964045492,0.0005999755201413028,0.0006072365966778584,0.0006000332868384844,0.0006072365966778584,0.0
11,1721004.IB,AA,100.2439,100.30123903223475,100.30135917101444,100.29980028236082,100.29828965489114,100.29985152747756,100.29828965489114,0.0005719952259913139,0.0005731936907327348,0.0005576427329824947,0.0005425732128452616,0.0005581539373224765,0.0005425732128452616,0.0
12,1721051.IB,AA,101.5267,101.74828467829104,101.74842279031965,101.74711236184503,101.74865014911106,101.74713730779352,101.74865014911106,0.0021825261560854195,0.0021838865078806454,0.0021709792778157972,0.0021861259068900302,0.0021712249860727996,0.0021861259068900302,0.0
13,1726001.IB,AAA,100.3082,100.34187893835289,100.34206158284677,100.339605540841,100.33758116301296,100.33967704030617,100.33758116301296,0.0003357545878890497,0.0003375754210200971,0.0003130904636012509,0.0002929088849461638,0.00031380326141004913,0.0002929088849461638,0.0
14,1820013.IB,AAA,102.8869,102.86515366690112,102.8663937456996,102.86658385437592,102.87333212932789,102.86703884528637,102.87333212932789,0.00021136153483946907,0.0001993087001396721,0.0001974609559047774,0.00013187170254041268,0.0001930387125438109,0.00013187170254041268,0.04831976890563964
15,1820039.IB,AAA,102.8583,102.81989392042105,102.82251729588111,102.81307443836693,102.82742073448225,102.81403456960686,102.82742073448225,0.0003733882397331867,0.0003478834874666114,0.00043968801383140264,0.0003002117040409389,0.00043035350956742555,0.0003002117040409389,0.04388339471817018
16,1820069.IB,AAA,102.8091,102.77407284665036,102.77610494845774,102.7617562094867,102.77262166907784,102.76216072269402,102.77262166907784,0.00034070090439120026,0.000320935126776308,0.00046050194499606945,0.00035481616823963065,0.0004565673399142771,0.00035481616823963065,0.04143305026435737
17,1820092.IB,AA+,102.1297,103.15817831913232,103.15921111897184,103.15047074582363,103.155888778555,103.15056040817214,103.155888778555,0.010070315678321963,0.010080428308042027,0.009994847197471702,0.010047897708061375,0.009995725123760672,0.010047897708061375,0.042811372280120844
18,1821030.IB,A+,102.8056,104.52787215426699,104.53057398564815,104.51952570469729,104.53428398905594,104.52047400849719,104.53428398905594,0.016752707578838007,0.01677898855362109,0.01667152085778682,0.016815076115074837,0.016680745100434127,0.016815076115074837,0.05451275825500489
19,1826006.IB,AAA,102.7229,102.98582362543907,102.98822260729165,102.9733227715816,102.98628352344161,102.9739315345772,102.98628352344161,0.002559542472409481,0.0025828963871897216,0.0024378475644828116,0.002564019546192896,0.0024437738282039206,0.002564019546192896,0.04311872529983521
20,1826007.IB,AAA,102.7314,103.00621731102817,103.00821765861926,102.99396132802298,103.00464865949237,102.99435037743568,103.00464865949237,0.0026751052845398063,0.002694576912407163,0.002555804048450453,0.002659835838822223,0.0025595911029703314,0.002659835838822223,0.04270343732833862
21,1920006.IB,AAA,100.0812,100.087825708669,100.08797642439596,100.08684541947099,100.08737912574881,100.08685687345304,100.08737912574881,6.620332958643384e-05,6.770926403725994e-05,5.6408391096372585e-05,6.174112369571203e-05,5.6522837986041945e-05,6.174112369571203e-05,0.0
22,1920007.IB,AAA,102.1987,102.17171241397527,102.1719691466955,102.16795043305103,102.16309409927112,102.1679387815901,102.16309409927112,0.00026406975846787734,0.00026155766467185633,0.0003008802161766215,0.00034839876367196484,0.0003009942240939179,0.00034839876367196484,0.03691968206877229
23,1920008.IB,AA+,100.068,100.10552141005961,100.10559613239059,100.10500975030064,100.1052883173894,100.10500560339818,100.1052883173894,0.0003749591283888063,0.0003757058439320241,0.0003698460077211554,0.0003726297856397325,0.00036980456687637776,0.0003726297856397325,0.0
24,1920009.IB,AA+,100.0919,100.12852769166494,100.12853742581068,100.12841133407551,100.12824305400822,100.12841550484659,100.12824305400822,0.00036594061722224113,0.00036603786930492513,0.00036477810967234104,0.0003630968540733834,0.0003648197790889256,0.0003630968540733834,0.0
25,1920010.IB,AA+,100.061,100.16048333919376,100.16057701189423,100.1593782973554,100.15814213298965,100.15941937139588,100.15814213298965,0.0009942269135202854,0.0009951630694698841,0.0009831832317825698,0.0009708291241307382,0.0009835937217884832,0.0009708291241307382,0.0
26,1920011.IB,AAA,99.9953,100.14519844838904,100.1452919860168,100.14409499998222,100.14286061812204,100.14413601479536,100.14286061812204,0.0014990549394725372,0.001499990359714913,0.0014880199367591767,0.0014756755379707125,0.0014884301041685382,0.0014756755379707125,0.0
27,1920012.IB,AA+,100.0879,100.15538837559218,100.15548200326842,100.15428386489765,100.15304829470043,100.1543249191957,100.15304829470043,0.0006742910540852281,0.0006752265085830845,0.0006632556472625077,0.0006509107964141636,0.0006636658296926694,0.0006509107964141636,0.0
28,1920013.IB,AAA,100.1111,100.1403120095598,100.14041796409268,100.13905272947966,100.13768779874991,100.13909857607169,100.13768779874991,0.00029179591034174656,0.00029285427982195505,0.000279217084615643,0.00026558292486962223,0.00027967504174557494,0.00026558292486962223,0.0
29,1920014.IB,AAA,101.9284,102.30539018417035,102.30578117473091,102.29991486211996,102.29239921273033,102.29988942169179,102.29239921273033,0.0036985784547815224,0.0037024143882461997,0.003644861119373658,0.003571126523425605,0.0036446115282079503,0.003571126523425605,0.037387324810028086
30,1920016.IB,AA+,100.0929,100.16550907858127,100.16560282450801,100.16440317290457,100.16316604219882,100.16444427905365,100.16316604219882,0.0007254168735371426,0.0007263534627132741,0.000714368081098365,0.000702008256318122,0.0007147787610675107,0.000702008256318122,0.0
31,1920018.IB,AA,100.1505,100.23880145706413,100.23911446265605,100.23447910162469,100.23226594852648,100.23456280494588,100.23226594852648,0.0008816876307570469,0.0008848129830210899,0.000838529030056685,0.0008164307569755641,0.0008393648054267043,0.0008164307569755641,0.0
32,1920021.IB,AAA,100.2547,100.23923482205251,100.23956564647811,100.23437520958922,100.2328725796112,100.23443356043138,100.2328725796112,0.00015425888210218933,0.0001509590425375277,0.00020273154685797884,0.0002177196718837413,0.00020214952085653465,0.0002177196718837413,0.0
33,1920022.IB,AAA,100.0759,100.2610954574744,100.26142666516833,100.25623021502952,100.25472584421736,100.25628863347258,100.25472584421736,0.001850550007288396,0.0018538595722679002,0.0018019344820232827,0.0017869021834163584,0.0018025182233941898,0.0017869021834163584,0.0
34,1920023.IB,AA+,100.1533,100.33790421469507,100.33820338513476,100.33333334795657,100.33247425734261,100.33336758432793,100.33247425734261,0.0018432164960622448,0.0018462036211963052,0.001797577792809289,0.001789000036370336,0.0017979196324826975,0.001789000036370336,0.0
35,1920025.IB,AAA,100.2664,100.28833589993026,100.28855570487244,100.28484578640247,100.28457925622261,100.28485749713798,100.28457925622261,0.00021877617956020845,0.00022096838893619522,0.00018396777387506206,0.00018130955357536818,0.00018408457008502527,0.00018130955357536818,0.0
36,1920026.IB,AA+,100.1765,100.29429797467358,100.29459651219183,100.28973677800607,100.28887950487393,100.28977094194737,100.28887950487393,0.0011759042756891952,0.0011788843909682036,0.001130372672294091,0.0011218150451845314,0.001130713709775873,0.0011218150451845314,0.0
37,1920028.IB,AA,100.1218,100.42492768234212,100.42498769349159,100.42392219954459,100.42396415796613,100.42392066107134,100.42396415796613,0.0030275892197515657,0.0030281886011996814,0.0030175466236583683,0.0030179656974418365,0.0030175312576416133,0.0030179656974418365,0.0
38,1920029.IB,AAA,100.3014,100.28880093040623,100.2889389721665,100.28654976552868,100.28653401032746,100.28655147062707,100.28653401032746,0.00012561210106514845,0.000124235831538698,0.00014805610361694904,0.00014821318219430016,0.000148039103870201,0.00014821318219430016,0.0
39,1920030.IB,AAA,99.9373,100.3202829043114,100.32034263728843,100.31928208227475,100.31932384620447,100.31928055093285,100.31932384620447,0.0038322318524855545,0.003832829557016653,0.0038222173530279503,0.003822635254349233,0.003822202030001329,0.003822635254349233,0.0
40,1920031.IB,AAA,100.3167,100.35522608171544,100.35528590086675,100.35422381583457,100.35426564001537,100.35422228228347,100.35426564001537,0.0003840445480707203,0.0003846408510920865,0.00037405353081366516,0.0003744704522315127,0.0003740382437169062,0.0003744704522315127,0.0
41,1920033.IB,AAA,100.3146,100.37706013181248,100.37706185072668,100.37687562387438,100.37679102869899,100.37687578654658,100.37679102869899,0.0006226424848674669,0.0006226596201019336,0.0006208031919021227,0.0006199598931660016,0.0006208048135224446,0.0006199598931660016,0.0
42,1920035.IB,AAA,100.3491,100.40417115302778,100.40420244223593,100.40270143828836,100.40188786695943,100.40270074881101,100.40188786695943,0.0005487956845429416,0.0005491074881181847,0.0005341496663981403,0.0005260422560782325,0.0005341427956105963,0.0005260422560782325,0.0
43,1920036.IB,AAA,100.355,100.40231872355727,100.40235355834605,100.4007781831716,100.39988777702453,100.4007761177585,100.39988777702453,0.0004715133631335566,0.00047186047876085935,0.00045616245500066754,0.0004472898911317573,0.0004561418739324675,0.0004472898911317573,0.0
44,1920037.IB,AAA,102.4967,102.87187874522448,102.872814301299,102.862431918633,102.84496901159426,102.8623013851523,102.84496901159426,0.0036603982881836597,0.003669525958386929,0.0035682311589836824,0.0033978558489615234,0.0035669576206092757,0.0033978558489615234,0.03908130640692033
45,1920038.IB,AAA,100.3428,100.42112391087323,100.42115989814329,100.41956485235976,100.41865002182323,100.41956230347955,100.41865002182323,0.0007805633376110436,0.0007809219808824375,0.0007650260144201538,0.0007559089623094884,0.0007650006126952289,0.0007559089623094884,0.0
46,1920041.IB,AAA,100.3982,100.44544151141912,100.44548453746252,100.4438433632303,100.44278884964793,100.44383735800228,100.44278884964793,0.00047054141826363894,0.00047096997219588197,0.0004546233222338398,0.0004441200105970302,0.0004545635081334257,0.0004441200105970302,0.0
47,1920042.IB,AAA,102.5136,102.89558745634623,102.89657047151765,102.88611822805152,102.86783200153184,102.88597670940106,102.86783200153184,0.0037262124864041236,0.003735801606007904,0.0036338420273165557,0.00345546348515554,0.0036324615407230536,0.00345546348515554,0.03907627248764038
48,1920043.IB,AAA,100.5023,100.46626347343016,100.46631109028237,100.46474132582422,100.46360858751059,100.46473263076581,100.46360858751059,0.0003585641977332339,0.00035809040905164047,0.0003737095984448544,0.00038498036850314195,0.0003737961144590346,0.00038498036850314195,0.0
49,1920044.IB,AA,100.4904,100.702565275101,100.70261730998006,100.70138819429312,100.70021452610693,100.7013763926119,100.70021452610693,0.0021112989410033236,0.0021118167504563814,0.0020995855752701,0.002087906169215558,0.002099468134388076,0.002087906169215558,0.0
50,1920045.IB,AAA,100.4915,100.52278639356666,100.52282959654711,100.52246323788184,100.52156714881865,100.52245402714722,100.52156714881865,0.0003113337303817721,0.00031176364714537917,0.00030811797895180157,0.0002992009156858565,0.000308026322099056,0.0002992009156858565,0.0
51,1920047.IB,AAA,100.5633,100.56414481092713,100.5642115862091,100.56439088333332,100.56515770043757,100.56439743907877,100.56515770043757,8.400787634596085e-06,9.064800072187058e-06,1.0847728080909938e-05,1.847294626935085e-05,1.0912918318875517e-05,1.847294626935085e-05,0.0
52,1920050.IB,AAA,100.6637,100.72102238881023,100.72113976337052,100.72081007727334,100.72213531849988,100.72083037434497,100.72213531849988,0.0005694444850548962,0.0005706104918705589,0.0005673353678966295,0.000580500403818603,0.0005675370003781373,0.000580500403818603,0.0
53,1920052.IB,AA+,100.7416,101.0857898299054,101.08590792722431,101.0855762110154,101.08690961269443,101.08559663307054,101.08690961269443,0.0034165610820692635,0.003417733361633196,0.0034144406185268833,0.0034276764781820193,0.003414643335727562,0.0034276764781820193,0.0
54,1920053.IB,AAA,100.6518,100.7718864829985,100.7720206267799,100.77117383053877,100.77267670305686,100.77119905565853,100.77267670305686,0.0011930882805722524,0.0011944210315156937,0.0011860079058573897,0.0012009393081580772,0.0011862585235289718,0.0012009393081580772,0.0
55,1920054.IB,AAA,100.6363,100.69871448489292,100.69885086829316,100.69781662257168,100.69934067518108,100.69784218853206,100.69934067518108,0.0006201985257100272,0.0006215537365061926,0.0006112766722512001,0.0006264208360310448,0.0006115307153786319,0.0006264208360310448,0.0
56,1920056.IB,AAA,100.6615,100.71765689153187,100.7177923131391,100.71646442544449,100.71797138673894,100.7164886382456,100.71797138673894,0.0005578785487189262,0.0005592238655205416,0.0005460322511037629,0.0005610028336447834,0.0005462727879635166,0.0005610028336447834,0.0
57,1920057.IB,AAA,100.6974,100.7428078397151,100.74294331335707,100.74161491543178,100.74312245576456,100.74163913753647,100.74312245576456,0.00045093358631996994,0.00045227894024147774,0.0004390869618458903,0.00045405795745035804,0.0004393275053423924,0.00045405795745035804,0.0
