date,GLM,BYD,ETF500,ETFW,SCYY,SJHB
2017-01-01,,6.5500,20.9400,49.6800,46.2900,
2017-01-02,,6.5500,20.9400,49.6800,46.2900,
2017-01-03,,6.6000,20.9900,49.8300,45.9700,
2017-01-04,,6.7100,21.4800,50.8000,48.6000,
2017-01-05,,6.6600,21.2100,50.4300,48.0100,
2017-01-06,,6.6100,20.9900,49.8000,48.0800,
2017-01-07,,6.6100,20.9900,49.8000,48.0800,
2017-01-08,,6.6100,20.9900,49.8000,48.0800,
2017-01-09,,6.6300,21.0500,49.9100,48.4900,
2017-01-10,,6.6400,21.1200,49.6500,47.8000,
2017-01-11,,6.6600,21.0000,49.4300,46.5400,
2017-01-12,,6.5800,20.5500,48.9600,46.5100,
2017-01-13,,6.3400,20.1700,48.9100,46.4600,
2017-01-14,,6.3400,20.1700,48.9100,46.4600,
2017-01-15,,6.3400,20.1700,48.9100,46.4600,
2017-01-16,,5.9500,19.4100,47.7600,45.4300,
2017-01-17,,5.9700,19.7800,48.2000,46.8900,
2017-01-18,,5.9700,19.5300,48.1100,46.2300,
2017-01-19,,5.9700,19.6200,48.1000,46.3400,
2017-01-20,,5.9700,20.0000,48.5800,46.8500,
2017-01-21,,5.9700,20.0000,48.5800,46.8500,
2017-01-22,,5.9700,20.0000,48.5800,46.8500,
2017-01-23,,5.9700,20.2000,48.8600,47.2000,
2017-01-24,,5.9700,20.0300,48.6500,46.6500,
2017-01-25,,6.2200,20.2800,48.9000,47.4000,
2017-01-26,,6.2400,20.6500,48.6800,47.3400,
2017-01-27,,6.2400,20.6500,48.6800,47.3400,
2017-01-28,,6.2400,20.6500,48.6800,47.3400,
2017-01-29,,6.2400,20.6500,48.6800,47.3400,
2017-01-30,,6.2400,20.6500,48.6800,47.3400,
2017-01-31,,6.2400,20.6500,48.6800,47.3400,
2017-02-01,,6.2400,20.6500,48.6800,47.3400,
2017-02-02,,6.2400,20.6500,48.6800,47.3400,
2017-02-03,,6.2400,20.8000,48.3500,48.5100,
2017-02-04,,6.2400,20.8000,48.3500,48.5100,
2017-02-05,,6.2400,20.8000,48.3500,48.5100,
2017-02-06,,6.2500,20.9800,48.6700,48.7100,
2017-02-07,,6.3300,20.9400,49.3400,48.7000,
2017-02-08,,6.3100,20.8300,50.5000,48.5000,
2017-02-09,,6.4000,20.7600,49.9800,48.5700,
2017-02-10,,6.3700,20.6400,49.6300,48.1800,
2017-02-11,,6.3700,20.6400,49.6300,48.1800,
2017-02-12,,6.3700,20.6400,49.6300,48.1800,
2017-02-13,,6.6300,20.6600,49.7300,48.0000,
2017-02-14,,6.5800,20.6400,49.5400,48.0000,
2017-02-15,,6.4800,20.5000,48.7500,47.5000,
2017-02-16,,6.8900,20.3800,48.9000,47.7900,
2017-02-17,,6.7600,20.0600,48.5600,48.1800,
2017-02-18,,6.7600,20.0600,48.5600,48.1800,
2017-02-19,,6.7600,20.0600,48.5600,48.1800,
2017-02-20,,6.8600,20.1100,49.1600,48.4200,
2017-02-21,,7.1800,20.6800,50.0400,48.5000,
2017-02-22,,7.1500,20.7000,49.9700,48.5400,
2017-02-23,,7.8700,20.6300,50.3100,47.7000,
2017-02-24,,8.0000,21.0000,50.2200,47.6400,
2017-02-25,,8.0000,21.0000,50.2200,47.6400,
2017-02-26,,8.0000,21.0000,50.2200,47.6400,
2017-02-27,,8.0900,21.3500,50.2700,47.6200,
2017-02-28,,8.2500,21.2700,50.1100,47.2000,
2017-03-01,,8.0800,21.5000,50.1900,47.2200,
2017-03-02,,8.1500,21.2000,49.7500,46.3400,
2017-03-03,,7.8600,21.2500,51.0100,46.6300,
2017-03-04,,7.8600,21.2500,51.0100,46.6300,
2017-03-05,,7.8600,21.2500,51.0100,46.6300,
2017-03-06,,8.4000,21.4800,50.9000,47.6200,
2017-03-07,,8.1600,22.0700,51.0000,47.6100,
2017-03-08,,8.0800,21.5000,50.8400,48.5000,
2017-03-09,,8.3500,21.1500,50.1700,50.1100,
2017-03-10,,8.4400,21.1000,50.1900,49.9800,
2017-03-11,,8.4400,21.1000,50.1900,49.9800,
2017-03-12,,8.4400,21.1000,50.1900,49.9800,
2017-03-13,,8.4800,21.7000,49.8400,54.9800,
2017-03-14,,8.7200,20.2500,49.7600,55.9900,
2017-03-15,,8.8000,19.8700,49.4700,58.5000,
2017-03-16,,8.8200,19.9500,50.0200,57.7900,
2017-03-17,,8.4900,19.8700,49.4900,57.5600,
2017-03-18,,8.4900,19.8700,49.4900,57.5600,
2017-03-19,,8.4900,19.8700,49.4900,57.5600,
2017-03-20,,8.3100,19.7500,49.1900,56.8500,
2017-03-21,,8.4500,19.8400,49.3000,61.8000,
2017-03-22,,8.6100,19.9200,48.9000,61.4400,
2017-03-23,,8.6100,19.9000,49.4500,61.7000,
2017-03-24,,8.3500,19.9500,49.6500,63.4300,
2017-03-25,,8.3500,19.9500,49.6500,63.4300,
2017-03-26,,8.3500,19.9500,49.6500,63.4300,
2017-03-27,,8.1600,20.0600,49.6000,60.1700,
2017-03-28,,8.2000,19.6600,49.9000,60.7600,
2017-03-29,,8.0100,19.4300,48.8000,59.4400,
2017-03-30,,7.9800,19.2300,47.8200,60.5000,
2017-03-31,,8.2100,19.5200,48.0200,62.5700,
2017-04-01,,8.2100,19.5200,48.0200,62.5700,
2017-04-02,,8.2100,19.5200,48.0200,62.5700,
2017-04-03,,8.2100,19.5200,48.0200,62.5700,
2017-04-04,,8.2100,19.5200,48.0200,62.5700,
2017-04-05,,8.5200,19.5900,49.4000,63.1000,
2017-04-06,,8.5200,20.0800,49.4800,63.0000,
