date,GLM,BYD,ETF500,ETFW,SCYY,SJHB
2019-01-01,3.8400,9.8400,21.3500,51.0000,,
2019-01-02,3.8500,9.8400,19.5200,49.1700,,
2019-01-03,3.8500,9.6400,19.0000,48.0600,,
2019-01-04,3.9600,9.4000,18.9400,50.6500,,
2019-01-05,3.9600,9.4000,18.9400,50.6500,,
2019-01-06,3.9600,9.4000,18.9400,50.6500,,
2019-01-07,4.0200,9.5000,18.9500,51.3900,,
2019-01-08,3.9900,9.2200,19.0500,52.8800,,
2019-01-09,3.9800,9.3000,19.2500,50.4600,,
2019-01-10,3.9700,9.2500,19.6000,48.8500,,
2019-01-11,4.0500,9.1300,19.6000,49.0200,,
2019-01-12,4.0500,9.1300,19.6000,49.0200,,
2019-01-13,4.0500,9.1300,19.6000,49.0200,,
2019-01-14,4.0100,8.9800,18.9900,48.8000,,
2019-01-15,4.0300,8.7400,19.1900,48.8000,,
2019-01-16,4.0300,8.5700,19.0000,48.9300,,
2019-01-17,4.0000,8.2700,18.9000,47.4900,,
2019-01-18,4.0600,8.4300,18.9000,46.8200,,
2019-01-19,4.0600,8.4300,18.9000,46.8200,,
2019-01-20,4.0600,8.4300,18.9000,46.8200,,
2019-01-21,4.0700,8.5000,19.6200,48.2100,,
2019-01-22,4.0200,8.3800,19.6000,47.7000,,
2019-01-23,4.0100,8.0900,19.3000,48.8000,,
2019-01-24,3.9700,8.2400,19.6000,48.5200,,
2019-01-25,3.9800,8.5900,19.8100,49.1800,,
2019-01-26,3.9800,8.5900,19.8100,49.1800,,
2019-01-27,3.9800,8.5900,19.8100,49.1800,,
2019-01-28,3.9900,8.2500,19.6600,48.4600,,
2019-01-29,3.8900,7.7900,19.6300,48.0000,,
2019-01-30,3.8600,7.7200,19.1400,47.1500,,
2019-01-31,3.8100,7.3500,19.4500,46.4200,,
2019-02-01,3.9200,7.7200,19.9400,48.2700,,
2019-02-02,3.9200,7.7200,19.9400,48.2700,,
2019-02-03,3.9200,7.7200,19.9400,48.2700,,
2019-02-04,3.9200,7.7200,19.9400,48.2700,,
2019-02-05,3.9200,7.7200,19.9400,48.2700,,
2019-02-06,3.9200,7.7200,19.9400,48.2700,,
2019-02-07,3.9200,7.7200,19.9400,48.2700,,
2019-02-08,3.9200,7.7200,19.9400,48.2700,,
2019-02-09,3.9200,7.7200,19.9400,48.2700,,
2019-02-10,3.9200,7.7200,19.9400,48.2700,,
2019-02-11,4.1000,7.9800,20.2700,50.2000,,
2019-02-12,4.1200,8.1600,20.7300,50.5800,,
2019-02-13,4.2200,8.3900,21.2700,51.5700,,
2019-02-14,4.2300,8.3300,21.3800,53.7200,,
