,Symbol,estimated_clean_price_SHCH,zero_curve_clean_price,log_linear_clean_price,cubic_zero_curve_clean_price,natural_cubic_curve_clean_price,log_cubic_curve_clean_price,monotonic_cubic_curve_clean_price
0,1105001.IB,111.1956,116.91181672853209,116.91696986255067,116.90058181109774,116.79567589741542,116.90024107154352,116.80265522074552
1,1120004.IB,110.9368,111.43150939708615,111.4514546084743,111.4464409941454,111.4661496320194,111.44882562956872,111.4661496320194
2,1205001.IB,100.9497,109.15272965933507,109.1658630924492,109.11730854059407,109.10896579832303,109.11928312017854,109.10649594993797
3,1206002.IB,101.9883,109.49104988983622,109.51206625955788,109.37240835437304,109.39727139732,109.3773210445085,109.38800847664437
4,1207001.IB,101.9281,109.47766829367318,109.49852876170314,109.36251976996806,109.38555438637047,109.36737306973566,109.37658670917213
5,1209002.IB,102.8476,110.67022834815528,110.69180828589755,110.53747246807544,110.57016495648435,110.54256573221905,110.559694434523
6,1211003.IB,102.8935,110.67022834815528,110.69180828589755,110.53747246807544,110.57016495648435,110.54256573221905,110.559694434523
7,1212001.IB,101.1253,109.95567988744692,109.96937945507197,109.91730671388855,109.90965443708475,109.91944288023359,109.90694832431784
8,1218003.IB,101.2082,110.4128227697002,110.42564543525368,110.3799489514832,110.37121263707509,110.38180863345922,110.36892949244043
9,1219001.IB,102.8031,112.81186344199848,112.83362939629076,112.67873482413847,112.71169158452791,112.68385914128865,112.70118125069598
10,1220002.IB,100.4576,123.51387180517027,123.51992133657318,123.51080636099046,123.50565286763724,123.51124006773755,123.5054137032517
11,1220019.IB,102.6044,113.4996718214994,113.5209976975213,113.38193111740217,113.40648002930325,113.38687775271478,113.39727596649513
12,1220023.IB,102.5318,111.41677060263412,111.43811571681115,111.29386935143091,111.32106730792832,111.298868362176,111.31143651455156
13,1220029.IB,103.1217,103.58180295218501,103.58185083419988,103.5806470492036,103.57825999398429,103.58054983834268,103.57825999398429
14,1220030.IB,102.4883,103.0460922351864,103.04613984744343,103.04494284433446,103.04256923731357,103.04484618114034,103.04256923731357
15,1220031.IB,102.8256,114.8999576584956,114.92190497892412,114.76646562129991,114.79968004687032,114.77162021513149,114.78913089646457
16,1224002.IB,101.2841,112.68338409144148,112.69940357419956,112.63036223142605,112.62702757695945,112.63323227718257,112.62314789235833
17,1225001.IB,102.2218,109.53081532090525,109.55220027178456,109.40201627441358,109.43243990101875,109.40706128680594,109.42231135091437
18,1320015.IB,102.9477,103.0836813508452,103.0849056597198,103.08226095113442,103.09115159821863,103.08276077130984,103.09115159821863
19,1720012.IB,100.5281,100.53393616301103,100.53393587285342,100.53393803026219,100.5339374702003,100.53393771530006,100.5339374702003
20,1720017.IB,100.4354,100.46830387863272,100.46848381224838,100.46617351026097,100.4668124867223,100.46619480385034,100.4668124867223
21,1720018.IB,100.4436,100.57672533653013,100.57690613107218,100.57458477500826,100.57522680877327,100.57460617048085,100.57522680877327
22,1720022.IB,100.4365,100.65093650767598,100.65095935353204,100.64998756617801,100.64881151586158,100.64998246027216,100.64881151586158
23,1720032.IB,100.6515,101.11165905673643,101.11171801296595,101.11025307065532,101.1078382055806,101.11023109972643,101.1078382055806
24,1720048.IB,101.1791,101.32756964391287,101.32757474923073,101.32760900010607,101.32768825787548,101.32760874131456,101.32768825787548
25,1720050.IB,100.9198,101.6024698447898,101.60254357362626,101.60263214329558,101.60372620882015,101.60264084313138,101.60372620882015
26,1720052.IB,101.0718,101.01282121803673,101.01282629179536,101.01286033094392,101.01293909876992,101.01286007375218,101.01293909876992
27,1720054.IB,101.2838,101.32600404224087,101.32607740065092,101.32616552533092,101.3272540940811,101.32617418145725,101.3272540940811
28,1721004.IB,100.2439,100.29404370280028,100.29431753230857,100.2915405266888,100.29229132111773,100.29173152336277,100.29229132111773
29,1721051.IB,101.5267,101.72494387693146,101.72510096654321,101.7232020314076,101.72552625765239,101.72323467834322,101.72552625765239
30,1726001.IB,100.3082,100.33424127643201,100.33455134176053,100.33130374587222,100.3321848178695,100.33150029564594,100.3321848178695
31,1820013.IB,102.8869,102.83905034732143,102.84004382309384,102.83768880260226,102.84498937694471,102.83811356503745,102.84498937694471
32,1820039.IB,102.8583,102.8228911061832,102.8257381936789,102.82251125054664,102.8408494409672,102.82334027299396,102.8408494409672
33,1820069.IB,102.8091,102.81486241108027,102.81912614320414,102.8182466532651,102.84197507591752,102.81906846992409,102.84197507591752
34,1820092.IB,102.1297,103.21832390702792,103.22304006410776,103.22392327086766,103.24846679959373,103.22466526356911,103.24846679959373
35,1821030.IB,102.8056,104.53546960520558,104.53857920271528,104.53547126090083,104.55514971265667,104.5363285758059,104.55514971265667
36,1826006.IB,102.7229,103.01619130280386,103.02015138845849,103.01840439193428,103.04137414768839,103.01925659886405,103.04137414768839
37,1826007.IB,102.7314,103.04787166442578,103.05216393434793,103.05135239582268,103.07516539482341,103.05217247424783,103.07516539482341
38,1920005.IB,100.0067,100.04882212574005,100.04885310373214,100.04860141897571,100.04866761754299,100.04863272777408,100.04866761754299
39,1920006.IB,100.0812,100.0809367510213,100.0810776975187,100.07978984523477,100.08013384593343,100.07991247989399,100.08013384593343
40,1920007.IB,102.1987,102.24636173261987,102.25144901228384,102.2549314797554,102.27922151232563,102.25554534576104,102.27922151232563
41,1920008.IB,100.068,100.09913228369226,100.099299801802,100.097735386998,100.09815436913185,100.09787575804624,100.09815436913185
42,1920009.IB,100.0919,100.12248653284385,100.12268096099297,100.12082611401912,100.12132413596251,100.12098254563863,100.12132413596251
43,1920010.IB,100.061,100.15357911645064,100.15383376515125,100.15128523059747,100.15197325161142,100.15146912591946,100.15197325161142
44,1920011.IB,99.9953,100.13830418129263,100.13855846279874,100.13601360314226,100.13670063205409,100.13619723329369,100.13670063205409
45,1920012.IB,100.0879,100.14848747139794,100.1487419977004,100.14619468811239,100.14688237842563,100.14637849504419,100.14688237842563
46,1920013.IB,100.1111,100.13331768207547,100.13357983072605,100.13093875487223,100.13165228270742,100.13112485057518,100.13165228270742
47,1920014.IB,101.9284,102.38011685226428,102.3852778948724,102.38941567914245,102.41345354200274,102.38999500484981,102.41345354200274
48,1920016.IB,100.0929,100.15859945863775,100.1588543064035,100.15630377959768,100.15699233845457,100.15648781867519,100.15699233845457
49,1920018.IB,100.1505,100.23063056827154,100.23098741108399,100.22691969342276,100.22803271637635,100.22707774227679,100.22803271637635
50,1920021.IB,100.2547,100.23114004411244,100.23147058899895,100.22750744866494,100.22859699310648,100.22761075970288,100.22859699310648
51,1920022.IB,100.0759,100.25299130153326,100.25332222936422,100.24935449763379,100.2504453043396,100.24945792836014,100.2504453043396
52,1920023.IB,100.1533,100.33001931595777,100.33029979174465,100.32682695605298,100.32778445968093,100.32688965287628,100.32778445968093
53,1920025.IB,100.2664,100.28087653478597,100.28107245806103,100.27856970842275,100.27926161072449,100.27859585518067,100.27926161072449
54,1920026.IB,100.1765,100.28642975713372,100.28670963954937,100.28324415094735,100.28419962889207,100.28330671512998,100.28419962889207
55,1920028.IB,100.1218,100.41810561402457,100.41815713897695,100.41747438101972,100.41766371215594,100.4174756408606,100.41766371215594
56,1920029.IB,100.3014,100.28170271647744,100.28182251858263,100.28026048716558,100.28069306619255,100.28026919042145,100.28069306619255
57,1920030.IB,99.9373,100.31349245864223,100.31354374475863,100.31286415162089,100.31305260514176,100.31286540562198,100.31305260514176
