,close,expma_expma
2022-01-11 14:00:00,9.2,9.182206
2022-01-11 14:01:00,9.17,9.1810435
2022-01-11 14:02:00,9.18,9.1809441
2022-01-11 14:03:00,9.19,9.1818066
2022-01-11 14:04:00,9.18,9.1816345
2022-01-11 14:05:00,9.02,9.1662408
2022-01-11 14:06:00,9.08,9.1580273
2022-01-11 14:07:00,9.09,9.1515486
2022-01-11 14:08:00,9.1,9.1466392
2022-01-11 14:09:00,9.13,9.1450545
2022-01-11 14:10:00,9.09,9.1398112
2022-01-11 14:11:00,9.11,9.136972
2022-01-11 14:12:00,9.11,9.1344033
2022-01-11 14:13:00,9.1,9.1311268
2022-01-11 14:14:00,9.13,9.1310195
2022-01-11 14:15:00,9.18,9.1356843
2022-01-11 14:16:00,9.18,9.1399048
2022-01-11 14:17:00,9.16,9.1418186
2022-01-11 14:18:00,9.13,9.1406931
2022-01-11 14:19:00,9.11,9.1377699
2022-01-11 14:20:00,9.16,9.1398871
2022-01-11 14:21:00,9.14,9.1398978
2022-01-11 14:22:00,9.14,9.1399076
2022-01-11 14:23:00,9.17,9.1427735
2022-01-11 14:24:00,9.16,9.1444141
2022-01-11 14:25:00,9.21,9.1506604
2022-01-11 14:26:00,9.2,9.1553594
2022-01-11 14:27:00,9.23,9.162468
2022-01-11 14:28:00,9.27,9.1727092
2022-01-11 14:29:00,9.27,9.181975
2022-01-11 14:30:00,9.26,9.1894059
2022-01-11 14:31:00,9.25,9.1951768
2022-01-11 14:32:00,9.23,9.1984933
2022-01-11 14:33:00,9.2,9.1986368
2022-01-11 14:34:00,9.08,9.187338
2022-01-11 14:35:00,9.14,9.1828297
2022-01-11 14:36:00,9.14,9.1787506
2022-01-11 14:37:00,9.27,9.1874411
2022-01-11 14:38:00,9.26,9.1943514
2022-01-11 14:39:00,9.23,9.1977465
2022-01-11 14:40:00,9.24,9.2017707
2022-01-11 14:41:00,9.25,9.2063639
2022-01-11 14:42:00,9.25,9.2105198
2022-01-11 14:43:00,9.29,9.2180893
2022-01-11 14:44:00,9.27,9.2230332
2022-01-11 14:45:00,9.23,9.2236967
2022-01-11 14:46:00,9.29,9.2300113
2022-01-11 14:47:00,9.31,9.2376293
2022-01-11 14:48:00,9.31,9.2445217
2022-01-11 14:49:00,9.31,9.2507577
2022-01-11 14:50:00,9.31,9.2563999
2022-01-11 14:51:00,9.31,9.2615046
2022-01-11 14:52:00,9.31,9.2661232
2022-01-11 14:53:00,9.31,9.270302
2022-01-11 14:54:00,9.31,9.2740827
2022-01-11 14:55:00,9.31,9.2775034
2022-01-11 14:56:00,9.31,9.2805984
2022-01-11 14:57:00,9.31,9.2833985
2022-01-11 14:58:00,,
2022-01-11 14:59:00,,
2022-01-11 15:00:00,9.31,9.285932
2022-01-12 09:30:00,8.38,9.1996527
2022-01-12 09:31:00,8.38,9.1215906
2022-01-12 09:32:00,8.38,9.0509629
2022-01-12 09:33:00,8.55,9.0032522
2022-01-12 09:34:00,8.75,8.9791329
2022-01-12 09:35:00,8.72,8.9544536
2022-01-12 09:36:00,8.71,8.9311723
2022-01-12 09:37:00,8.93,8.9310606
2022-01-12 09:38:00,8.83,8.9214358
2022-01-12 09:39:00,8.77,8.9070134
2022-01-12 09:40:00,8.78,8.8949168
2022-01-12 09:41:00,8.89,8.8944486
2022-01-12 09:42:00,8.98,8.9025963
2022-01-12 09:43:00,9.12,8.9233014
2022-01-12 09:44:00,9.05,8.935368
2022-01-12 09:45:00,8.99,8.940571
2022-01-12 09:46:00,9.16,8.961469
2022-01-12 09:47:00,9.03,8.9679958
2022-01-12 09:48:00,8.89,8.9605676
2022-01-12 09:49:00,8.96,8.9605136
2022-01-12 09:50:00,8.91,8.9557027
2022-01-12 09:51:00,9.01,8.9608739
2022-01-12 09:52:00,8.87,8.9522193
2022-01-12 09:53:00,8.76,8.9339127
2022-01-12 09:54:00,8.9,8.9306829
2022-01-12 09:55:00,8.8,8.9182369
2022-01-12 09:56:00,8.85,8.9117381
2022-01-12 09:57:00,8.85,8.9058583
2022-01-12 09:58:00,8.84,8.8995861
2022-01-12 09:59:00,8.96,8.9053398
2022-01-12 10:00:00,8.91,8.9057836
2022-01-12 10:01:00,8.89,8.9042804
2022-01-12 10:02:00,8.89,8.9029204
2022-01-12 10:03:00,8.94,8.9064518
2022-01-12 10:04:00,8.88,8.9039326
2022-01-12 10:05:00,8.9,8.903558
2022-01-12 10:06:00,8.86,8.8994097
2022-01-12 10:07:00,8.81,8.8908944
2022-01-12 10:08:00,8.83,8.885095
2022-01-12 10:09:00,8.88,8.8846097
2022-01-12 10:10:00,8.94,8.889885
