,WINDCODE,YOYEPS_BASIC,YOYEPS_DILUTED,YOYOCFPS,YOY_TR,YOY_OR,YOYOP,YOYOP2,YOYEBT,YOYPROFIT,YOYNETPROFIT,YOYNETPROFIT_DEDUCTED,DP_YOY,YOYROE,YOYOCF,MAINTENANCE,YOY_CASH,YOY_FIXEDASSETS,FA_RDEXP_YOY,YOY_EQUITY,YOYCF,YOYDEBT,YOY_ASSETS,ROE_AVG,ROE_BASIC,ROE_DILUTED,ROE_DEDUCTED,ROE_EXBASIC,ROE_EXDILUTED,ROE_ADD,ROA2,ROA,ROIC,ROP,ROE_YEARLY,ROA2_YEARLY,ROA_YEARLY,NETPROFITMARGIN,NETPROFITMARGIN_DEDUCTED,GROSSPROFITMARGIN,COGSTOSALES,NPTOCOSTEXPENSE,EXPENSETOSALES,OPTOEBT,PROFITTOGR,OPTOGR,EBITTOGR,GCTOGR,OPERATEEXPENSETOGR,ADMINEXPENSETOGR,FINAEXPENSETOGR,IMPAIRTOOP,EBITDATOSALES
2002-09-27,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-31,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-30,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-30,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-30,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-31,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-29,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-29,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-30,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-29,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-28,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-28,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-31,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-26,002460.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,002460.SZ,26.82926829268294,26.82926829268294,683.3333,14.659,14.659,9.9728,,20.8012,31.71981417863624,31.8553,21.0798,21.0798,-2.1193,694.1046,386.8538842356952,90.05931862563,41.326128498941145,,34.71014383439399,,67.58412307296021,46.73406787028929,28.286,28.29,,22.5407,22.54,19.6367,22.54,23.4418,15.7538,21.3879,356.9262625340245,28.286,23.4418,15.7538,16.1293,12.85699743737348,30.0466,69.9534,19.966005282531015,10.8302,81.20620655411433,16.1293,17.9722,24.0005,81.874,2.6134,5.5238,2.6929,3.353177291847903,29.229112553388187
2009-03-31,002460.SZ,,,,,,,,,,,,21.0798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,002460.SZ,,,,,,,,,,,,21.0798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.123415507911172,,74.93568414526291,,,,,,,,,
2009-09-30,002460.SZ,,,,,,,,,,,,21.0798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.203723413553206,,82.36083152777984,,,,,,,,,
2009-12-31,002460.SZ,-13.461538461538463,-13.461538461538463,82.8571,2.3041,2.3041,-10.2638,,-17.7383,-12.998065708461127,-13.0239,-3.8754,-3.8754,-27.7327,79.3535,-133.3858967572147,-13.004414827811669,-2.641392097098206,,20.35326671556681,,-18.206750847626136,2.1195701946681926,19.4529,19.45,,17.1322,17.13,15.6836,17.13,15.9248,11.4026,14.8666,311.96950256353347,19.4529,15.9248,11.4026,13.7167,12.080393302107764,25.7022,74.2978,16.481251665135936,8.9283,88.58483399490925,13.7167,15.7644,19.1567,84.2851,2.1141,5.2297,1.5845,2.7009775113136376,25.645001109724824
2010-03-31,002460.SZ,,,,,,,,,,,,-3.8754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.199900393738815,,100.03881058088488,,,,,,,,,
2010-06-30,002460.SZ,75.00000000000001,18.75,-176.35,79.1549,79.1549,118.7313,,71.5034,75.91886043716588,75.9189,123.62,123.62,,-176.3486,,,,,,28.300542374960546,,,10.3586,,9.81,9.8246,,9.31,,8.95,6.2799,8.0005,536.3059706056972,20.7172,17.9,12.5598,12.8392,12.177317480722285,23.8648,76.1352,15.318752401528462,7.6782,95.57115142369894,12.8392,15.909,18.2981,84.091,2.3089,3.7175,1.6518,,
2010-09-30,002460.SZ,30.00000000000001,-13.333333333333327,-197.12,50.2672,50.2672,50.8601,,28.6993,37.07775569102617,37.0778,,,,-229.4992,,,,,,3067.9845663023366,,,6.8807,11.81,4.3722,6.6414,11.4,4.2201,11.4,7.2294,5.5299,6.5733,304.78403748692796,9.1743,9.6392,7.3732,12.5564,12.119706996552557,22.8497,77.1503,14.763434357428707,7.9005,96.54257588183665,12.5564,14.6362,16.4154,85.3638,2.4651,4.1803,1.255,,
2010-12-31,002460.SZ,13.333333333333334,-24.44444444444444,-107.81,45.7189,45.7189,21.5742,,17.204,26.040368978920885,25.9329,30.56,30.56,-66.4698,-109.9371,195.20015786515478,1653.8838685739797,27.916885346558622,,275.5804570399856,4610.145543764834,-47.30897375749916,158.7691574360916,9.431,11.45,5.9711,8.6115,10.46,5.4522,10.46,9.9521,7.9286,9.1585,205.00800102063207,9.431,9.9521,7.9286,11.8643,10.824089023546735,22.7744,77.2256,13.661856895989446,9.6173,91.88791376363955,11.8643,13.1523,14.8922,86.8477,2.6899,5.8008,1.1266,-2.0596573118360806,18.82273201230496
2011-03-31,002460.SZ,19.99999999999999,-20.000000000000004,-237.5,21.9579,21.9579,10.8427,,13.6649,20.12338824282696,18.3543,,,,-238.0858,,,,,,-153.2048242704581,,,1.7,1.7,1.6839,1.6565,1.66,1.6408,1.66,1.9211,1.5787,1.7174,797.4633537555858,6.8,7.6844,6.3148,13.1378,12.613548313647424,22.2406,77.7594,15.592685125377512,6.4969,97.55495435579391,13.1378,15.5716,15.9879,84.4284,2.002,4.4689,0.026,,
2011-06-30,002460.SZ,-15.789473684210526,-15.789473684210526,153.98,21.2639,21.2639,9.4206,,6.7944,13.963063957882385,13.0225,15.32,15.32,-65.6732,171.9753,328.8040299667783,1437.6818795481975,29.25412723440536,,229.25429840436894,-4068.181273586626,-26.812816488598045,123.82354078826145,3.3342,3.27,3.3685,3.2266,3.17,3.2597,3.17,3.5404,2.9868,3.2599,345.8006029341016,6.6684,7.0808,5.9736,12.0662,11.580077232077707,23.0721,76.9279,14.130340994722365,8.4641,97.92134685295558,12.0662,14.3553,14.3024,85.6447,2.1891,5.8661,0.4089,0.5219929023923965,18.885450402499835
2011-09-30,002460.SZ,7.692307692307699,7.692307692307699,111.11,34.0727,34.0727,25.7072,,37.4251,36.23349579936115,37.5159,25.2696,25.2696,34.244,116.4263,,-40.67137672557131,21.95610460396088,,2.437234745868936,-130.2518618552626,9.598544290169457,5.38215372884263,5.8898,5.87,5.8694,5.1787,5.16,5.1607,5.16,5.6937,5.1303,5.1706,187.03510513875224,7.8531,7.5916,6.8404,12.7588,11.32393223995268,21.337,78.663,14.887529214686076,7.0381,88.3106406953471,12.7588,13.723,14.1599,86.3245,2.267,6.1506,-1.3796,2.6800405510663783,
2011-12-30,002460.SZ,,,,,,,,,,,,25.2696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-30,002460.SZ,,,,,,,,,,,,21.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-29,002460.SZ,,,,,,,,,,,,33.9022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-28,002460.SZ,,,,,,,,,,,,31.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,002460.SZ,27.77777777777779,27.77777777777779,-133.2174,32.2476,32.2476,23.9177,,27.1175,28.086041504874444,28.2864,24.87,24.87,15.1953,-133.9368,313.3036295977075,-57.33960690686782,40.64689260596664,,11.36428370859326,25.63810370628691,162.84636313028145,26.261332040736722,9.1015,9.26,8.6372,7.7441,7.88,7.3489,7.88,8.4316,7.242,8.0898,162.50647364151996,9.1015,8.4316,7.242,10.8249,9.433647195806147,21.7373,78.2627,12.424721144392219,8.8616,85.44160823487282,10.8249,11.1672,12.6031,88.4513,3.1191,6.0309,-0.2885,9.108694463099386,17.709794683454316
2013-03-29,002460.SZ,,,,,,,,,,,,24.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-28,002460.SZ,,,,,,,,,,,,-7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,002460.SZ,0.0,-51.42857142857142,11.9,8.4641,8.4641,-2.649,,-3.0288,-4.120047722069242,1.4417,-4.92,-4.92,-5.391,17.098,,-47.24797683394181,21.272260603487407,,7.222043179425705,79.4007077193688,235.4826884023601,36.47290664580274,6.4911,6.51,6.3589,5.5341,,5.4214,,5.3259,4.2697,5.2747,219.96042961889341,8.6548,7.1012,5.6929,9.9318,9.176714469434309,22.2734,77.7266,11.173545149618727,11.1602,91.03897364994253,9.9318,10.7897,12.3887,89.2103,2.8548,7.7686,0.5369,0.9498555078415856,
2013-12-31,002460.SZ,6.521739130434775,-45.652173913043484,566.7539,9.2525,9.2525,10.7283,,4.8676,2.271871435936283,6.431,8.57,8.57,-36.0063,644.3195,172.48033682099455,514.5949423973029,8.609894878721509,,66.31469831057717,467.3650800729419,91.80902080967921,71.38017457892182,6.9036,8.93,5.5272,5.9921,7.75,4.7975,7.75,6.4572,4.8908,5.9423,191.84967315340492,6.9036,6.4572,4.8908,10.1333,9.374941157923987,23.2263,76.7737,11.557385323743514,10.9043,90.21663109165485,10.1333,11.3181,13.3788,88.3619,2.9438,7.2475,0.713,3.820339968931786,18.38459081579261
2014-03-31,002460.SZ,0.0,-50.0,-14.243,13.2164,13.2164,29.0605,,12.2133,12.148951200957043,12.5691,29.8,29.8,-31.6336,-33.2751,,448.7058838499283,28.488067799659028,,64.6556443255774,-451.23993012909256,11.094551339664745,49.226192299241305,1.4527,1.44,1.4401,1.4135,,1.4012,,1.4823,1.1147,1.3374,631.5615452455003,5.8108,5.9292,4.4588,11.0135,10.755571437875172,24.028,75.972,12.774019405148495,10.2463,97.62499882348611,11.0135,13.2122,14.6451,86.7878,2.6235,6.5113,1.1115,,
2014-06-30,002460.SZ,-4.347826086956525,-52.17391304347826,281.9298,23.715,23.715,20.1012,,9.2315,8.812028866112705,12.1754,21.93,21.93,-33.7218,312.3201,1708.8194492556909,155.89300035862416,129.83985985019063,,69.24921224150799,-27068.951948797796,-0.8346585186003912,45.24606557556524,2.8699,2.82,2.8232,2.6134,2.57,2.5709,2.57,2.7273,2.1227,2.5398,296.7215803972139,5.7398,5.4546,4.2454,9.3555,8.757032902085808,21.534,78.466,10.515431845399089,10.5033,92.62116296614228,9.3555,10.6246,12.0204,89.3057,3.168,6.3989,0.9365,1.5194303481072882,17.290837459287083
2014-09-30,002460.SZ,0.0,0.0,-1.0724,26.7413,26.7413,20.1512,,21.6686,19.21248255150802,11.8922,16.34,16.34,-31.9368,130.7972,,220.99146630252798,124.43069288894073,,64.39467707748919,-2083.6688167986877,4.87437361206557,44.390166355422885,4.3929,4.38,4.328,3.8943,,3.8368,,4.2682,3.2496,3.9977,211.1604998820738,5.8572,5.6909,4.3328,9.3418,8.42392963357222,21.2679,78.7321,10.440644010427912,10.7436,89.90360840465887,9.3418,10.2287,12.27,89.6822,3.0235,6.8275,0.8926,0.17115436747422363,
2014-12-31,002460.SZ,-4.0000000000000036,-4.0000000000000036,-91.2507,26.6971,26.6971,18.6281,,17.6229,21.365887151074098,15.6547,14.41,14.41,9.5862,-82.5235,559.1119322830327,-31.403004193717898,126.64737568025124,756.2153236013772,5.537722722613775,-137.0170134550952,24.504012692100304,8.829036595637353,6.2859,6.37,6.1828,5.3973,5.47,5.3087,5.47,5.6371,4.5009,5.2801,175.10510067466674,6.2859,5.6371,4.5009,9.7069,8.465783561190355,21.3611,78.6389,10.863362076736875,10.7155,90.98760477548738,9.7069,10.5973,12.1573,89.8163,3.1468,6.793,0.7757,1.3302619503942836,18.8018831263367
2015-03-31,002460.SZ,27.27272727272728,27.27272727272728,144.7254,29.0993,29.0993,19.8471,,30.8567,23.027861227187245,22.9356,11.81,11.81,18.7572,189.5015,,16.58432531291156,81.96933495472503,,3.5184251674574596,157.0556243101452,79.81691577576491,19.28836377475109,1.7262,1.53,1.7102,1.5276,,1.5134,,1.7061,1.2036,1.4873,746.7806261706804,6.9048,6.8244,4.8144,10.4956,9.31511823661107,21.2673,78.7327,11.949819763150002,9.0978,89.41139144406603,10.4956,12.2653,14.8767,87.9977,2.7046,5.2343,1.1588,,
2015-06-30,002460.SZ,27.27272727272728,-36.36363636363636,25.7473,33.7821,33.7821,30.8653,,34.4083,33.59172456762027,30.3744,26.74,26.74,28.5725,151.5518,240.01257096176357,49.80057161026672,-6.634276724379228,,1.4014652356984874,88.6336374088405,62.85722086076439,15.483176184022824,3.6546,3.61,3.6299,3.2353,3.19,3.2135,3.19,3.2988,2.5285,3.0266,418.3275917523424,7.3092,6.5976,5.057,9.3422,8.296393635590425,19.8453,80.1547,10.466489243237422,9.1035,90.17966506322975,9.3422,10.393,12.1883,89.7241,2.6021,5.5537,0.9477,2.526101535924364,18.779391854425242
2015-09-30,002460.SZ,35.29411764705882,-29.41176470588236,181.0298,37.7656,37.7656,39.4308,,42.8636,43.30835956758363,41.4243,38.06,38.06,8.2012,197.8687,,-40.59573210308271,-0.7508016447190955,,30.704924844133068,23.924402176735498,76.81170633301834,42.53458538800117,5.2985,5.68,4.683,4.5854,,4.0528,,5.0665,3.7017,4.8675,204.35103566215878,7.0647,6.7553,4.9356,9.7177,8.442061120767729,20.9293,79.0707,10.904805259721789,10.0432,87.74338180100176,9.7177,10.3524,13.3007,89.71,2.645,5.896,1.5022,2.2873826458972015,
2015-12-31,002460.SZ,41.66666666666668,-29.166666666666657,3004.4872,55.7166,55.7166,40.5491,,48.0223,47.8649577642908,45.9907,44.68,44.68,7.5279,3194.7895,178.43682006043323,-51.6476591915778,2.5418096336676226,62.87249121881061,35.77009047012074,-16.185893124446167,13.710535466562005,29.32283110855837,7.6569,7.86,6.6482,6.5154,6.69,5.6571,6.69,7.1752,5.5688,6.8666,142.6385425150927,7.6569,7.1752,5.5688,9.2175,7.8657377392812355,21.7839,78.2161,10.458426390534793,9.9181,86.3938759907268,9.2175,9.5651,11.8763,90.4984,2.5519,5.9833,1.3828,20.33715139211735,17.781581845177733
2016-03-31,002460.SZ,300.0,100.0,81.2865,188.9704,188.9704,426.3628,,311.5144,345.518801459725,344.599,476.37,476.37,214.2086,92.0229,,-63.977555042667014,2.143301428583516,,41.4980355343934,-112.26048427591708,62.67129537956184,48.005019924121136,5.5349,5.53,5.3736,6.3497,,6.1648,,4.9195,3.8611,4.8528,878.8741404066735,22.1396,19.678,15.4444,16.1815,18.579526124023324,27.6961,72.3039,20.889357972153945,5.1591,114.36498051045172,16.1815,22.3414,20.6169,77.6151,1.3884,2.689,1.0818,0.008233759899621057,
2016-06-30,002460.SZ,428.57142857142856,428.57142857142856,153.1442,146.7333,146.7333,554.6257,,423.9053,446.8057109221674,445.2044,594.47,594.47,268.8655,434.3916,79.09572357778752,-41.553202338002805,4.822485233356651,,47.805769843585985,121.73374282875946,53.60555788800293,49.61466520931572,14.0485,13.8,13.3895,15.8417,15.56,15.0986,13.8,12.0324,9.8929,12.1643,497.31136107748756,28.097,24.0648,19.7858,20.704,23.351452849969874,34.8354,65.1646,29.14076556899458,5.8836,112.68053840396513,20.704,27.5743,25.1817,72.4146,1.8257,3.2613,0.7966,3.577726378143876,27.974435786116825
2016-09-30,002460.SZ,433.33333333333337,433.33333333333337,134.4584,133.263,133.263,576.4676,,453.7874,476.4490554844534,474.3536,584.52,584.52,357.2201,366.869,,122.18205259933028,-2.0879902879728878,,25.618637537194,134.00928001749227,49.60014440008309,32.93097560026492,23.4043,23.28,21.4116,24.1396,,22.0843,,19.4646,16.2415,20.2633,517.8481687405015,31.2057,25.9528,21.6553,24.0148,24.773548280870116,36.0807,63.9193,34.37080371162328,5.9504,107.1811241533536,24.0148,30.0221,28.7804,70.9986,1.7573,3.4233,0.7698,2.3933862174606704,
2016-12-30,002460.SZ,,,,,,,,,,,,584.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,002460.SZ,28.57142857142855,28.57142857142855,-141.5054,-5.7462,-5.7462,6.7525,,27.2087,27.023383128020107,27.0293,6.16,6.16,-2.9213,-182.7119,,156.66180965033882,9.261599279566967,,30.85181477573386,2071.799658582791,86.93025014844648,49.99762807500459,5.3469,5.35,5.2167,5.1263,,5.0014,,4.291,3.2629,4.3339,1620.8214056896456,21.3876,17.164,13.0516,21.8074,20.926308820911228,34.0426,65.9574,29.498452391100717,7.97,95.97422116259851,21.8074,25.304,28.6787,74.8729,1.5915,4.0652,2.3133,0.02188903058251333,
2017-06-30,002460.SZ,118.91891891891892,45.94594594594596,-249.2578,20.9976,20.9976,81.9476,,104.8666,118.32000867352161,118.3599,30.37,30.37,67.7436,-244.5505,291.71352091061533,55.21919701127216,16.602266968323896,,30.17476953071288,156.20909581393187,155.65009847198434,71.44210278014657,23.3943,22.59,22.4601,15.7505,15.21,15.1216,15.21,15.2434,13.3229,16.4097,1041.10777294811,46.7886,30.4868,26.6458,37.3569,25.160756408927003,34.1529,65.8471,51.46316817779266,6.7425,100.07463595545805,37.3569,41.4643,42.7418,73.8147,1.4161,3.6119,1.7145,0.007250480377673701,45.812878149039456
2017-09-29,002460.SZ,,,,,,,,,,,,30.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-29,002460.SZ,,,,,,,,,,,,60.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-30,002460.SZ,,,,,,,,,,,,151.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-29,002460.SZ,,,,,,,,,,,,113.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-28,002460.SZ,,,,,,,,,,,,69.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-28,002460.SZ,,,,,,,,,,,,20.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-29,002460.SZ,,,,,,,,,,,,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28,002460.SZ,,,,,,,,,,,,-42.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,002460.SZ,-70.93023255813954,-70.93023255813954,75.7485,17.17,17.17,-62.643,,-62.7356,-66.23419239831418,-66.1479,-40.17,-40.17,-81.9839,103.6807,,81.45104009907918,70.68679077421831,26.948038013711095,65.11613184949496,-7.084666346533972,45.51257237911116,56.998179544680596,4.104,4.05,4.055,7.2798,,7.1928,,3.4996,2.3835,3.1977,253.68493052635017,5.472,4.6661,3.178,7.7957,13.867204237495868,23.9003,76.0997,9.026750122593985,10.263,100.204143037398,7.7957,10.1003,11.4461,86.8895,1.8944,6.5018,1.8668,0.4246860549225388,
2019-12-31,002460.SZ,-76.27118644067797,-76.27118644067797,-0.6333,6.7515,6.7515,-65.3186,,-68.4651,-73.66552365391641,-73.305,-44.72,-44.72,-74.3068,-2.3271,272.20246152678254,-52.810388154927125,38.2281961557399,27.304247041335987,3.8991746862748125,-279.49083716931466,4.675837453904661,4.210505789141643,4.3992,4.38,4.2856,8.5316,8.49,8.3112,4.38,3.9901,2.5485,3.5329,146.7506296273319,4.3992,3.9901,2.5485,6.6157,12.99999386089897,23.5039,76.4961,7.730281363782715,9.0855,100.17770386490508,6.6157,8.8981,10.3583,87.5202,1.1706,6.5982,1.3167,-9.09655496361903,14.74294734216072
2020-03-31,002460.SZ,-95.45454545454545,-95.45454545454545,-160.3264,-18.8782,-18.8782,-92.1305,,-92.2063,-97.79130595639603,-96.935,-51.98,-51.98,-97.0375,-159.2914,,-20.455976737319194,35.9438703953274,19.77746698320133,3.460235019226975,391.91232690694136,26.147183274812612,12.539948520885371,0.0923,0.09,0.0919,0.8564,,0.8527,,0.3846,0.0376,0.1025,358.62675531553595,0.3692,1.5384,0.1504,0.5172,6.660694153132994,19.4704,80.5296,0.5587200530086172,12.0382,101.29874368812195,0.5172,2.1854,5.2919,93.1308,1.7236,4.1624,6.1522,-0.17343092025486673,
2020-06-30,002460.SZ,-47.82608695652174,-47.82608695652174,-0.6766,-15.4297,-15.4297,-50.3537,,-50.7954,-47.133715800512434,-47.0956,-54.28,-54.28,-48.7229,-2.3713,203.41832317931582,-12.653717874026386,13.582854575865122,27.57394005108038,3.173451454783875,444.0932896601822,22.41007054200415,11.346091777647132,1.8852,1.85,1.8978,2.0939,2.05,2.1078,1.85,1.6699,1.0341,1.5561,222.47924844480895,3.7704,3.3398,2.0682,6.5472,7.281441512875218,19.354,80.646,7.426650254061305,7.5122,100.923165689827,6.5472,8.0332,10.5723,92.2207,1.1022,4.0156,2.3944,-4.8359195806854895,16.235835554424227
2020-09-30,002460.SZ,0.0,0.0,-14.3101,-7.5416,-7.5416,-2.8859,,-3.1012,1.8478970036061069,0.4003,-54.34,-54.34,-17.9288,-11.6452,,129.03005789751867,11.741787363283807,41.62387046474523,22.333206037829335,336.96961352705875,65.50145387294384,56.58468711874319,3.6147,3.54,3.328,2.916,,2.6848,,2.7562,1.8486,2.584,175.3339349051887,4.8196,3.6749,2.4648,8.5874,6.848451300446616,18.8157,81.1843,9.675900223241303,7.5664,100.4267782236779,8.5874,10.6089,12.8037,91.9704,1.1289,4.561,1.8765,-2.47654857452307,
2020-12-31,002460.SZ,182.14285714285714,182.14285714285714,7.5705,3.4121,3.4121,138.7833,,137.5862,200.96377714229968,186.1607,-42.08,-42.08,123.3356,11.5171,1286.866918680549,27.981118734890465,9.747758991295198,75.5821614144863,28.130370967938045,120.17896772680199,48.239524216748734,54.9308655625896,10.7514,11.07,9.5712,4.2203,4.34,3.7571,4.34,6.9774,5.8707,7.4336,302.1614937994539,10.7514,6.9774,5.8707,19.2539,7.2812924057690465,21.3783,78.6217,21.83393920205588,9.5617,100.6824665001164,19.2539,20.5461,22.8834,91.0335,0.8728,5.5904,3.0984,-2.003228162419094,27.934889221926177
2021-03-31,002460.SZ,3500.0,3500.0,-49.2537,48.9397,48.9397,2159.1784,,2188.3801,8747.45024484078,6046.3017,308.74,308.74,4269.1129,-56.5953,,-5.477580224296624,12.189662379980708,69.6857840541246,40.676193664692,-74.58204460787319,23.899037964926215,50.59266538606346,4.2206,4.34,4.0161,2.6038,,2.4776,,2.357,2.1782,2.4584,1480.8465093136729,16.8824,9.428,8.7128,30.7229,18.279083447068604,31.1122,68.8878,39.802382693887566,8.3007,100.00608540593399,30.7229,33.1489,33.2451,77.9744,0.785,4.2958,3.22,0.18810586501667304,
