证券代码,证券简称,"收盘价
[交易日期] 2022-01-27
[债券价格类型] 收益率
[单位] 元","收盘价
[交易日期] 2022-01-27
[债券价格类型] 净价
[单位] 元","收盘价
[交易日期] 2022-01-27
[债券价格类型] 全价
[单位] 元","报价买入收益率(最优)
[交易日期] 2022-01-27
[单位] %","剩余期限(年)
[日期] 最新
[单位] 年","债券初始面值
[单位] 元",最新债项评级,到期日期,利率类型,计息方式,利率说明,每年付息次数,Coupon Date,"债券期限(年)
[单位] 年",债券期限(文字),计息基准,付息日说明,"债券期限(年)
[单位] 年","发行总额
[单位] (100M)元"
091900013.IB,19中信证券金融债01,2.5100,100.4933,102.3176,2.5413,0.4740,100.0000,AAA,2022-07-25,固定利率,单利,3.58%,1,7月25日,3.0000,3,A/365,"每年7月25日付息,节假日顺延",3.0000,"9,000,000,000.0000"
091900014.IB,19意大利存贷款债01,3.1199,100.6578,102.8646,,0.4932,100.0000,AAA,2022-08-01,固定利率,单利,4.5%,1,8月1日,3.0000,3,ACT/ACT,"每年8月1日付息,节假日顺延",3.0000,"1,000,000,000.0000"
091900015.IB,19中信建投金融债01,2.3942,100.5580,102.2457,,0.5041,100.0000,AAA,2022-08-05,固定利率,单利,3.52%,1,8月5日,3.0000,3,ACT/ACT,"每年8月5日付息,节假日顺延",3.0000,"4,000,000,000.0000"
091900016.IB,19国泰君安金融债01,2.4046,100.5409,102.1808,,0.5123,100.0000,AAA,2022-08-08,固定利率,单利,3.48%,1,8月8日,3.0000,3,ACT/ACT,"每年8月8日付息,节假日顺延",3.0000,"8,000,000,000.0000"
091900017.IB,19东方债01BC,2.9275,101.1380,102.6284,,2.5452,100.0000,AAA,2024-08-20,固定利率,单利,3.4%,1,8月20日,5.0000,5,ACT/ACT,"每年8月20日付息,节假日顺延",5.0000,"4,000,000,000.0000"
091900018.IB,19华泰证券金融债01,2.6331,100.4048,101.8859,,0.5479,100.0000,AAA,2022-08-21,固定利率,单利,3.4%,1,8月21日,3.0000,3,ACT/ACT,"每年8月21日付息,节假日顺延",3.0000,"6,000,000,000.0000"
091900019.IB,19中金公司金融债01,2.4288,100.5177,101.9852,2.5622,0.5507,100.0000,AAA,2022-08-22,固定利率,单利,3.39%,1,8月22日,3.0000,3,ACT/ACT,"每年8月22日付息,节假日顺延",3.0000,"2,500,000,000.0000"
091900020.IB,19东方债02BC(品种一),2.6215,100.4156,101.8781,,0.5534,100.0000,AAA,2022-08-23,固定利率,单利,3.4%,1,8月23日,3.0000,3,ACT/ACT,"每年8月23日付息,节假日顺延",3.0000,"5,000,000,000.0000"
091900021.IB,19东方债02BC(品种二),3.7284,103.8856,105.7481,,7.5534,100.0000,AAA,2029-08-23,固定利率,单利,4.33%,1,8月23日,10.0000,10,ACT/ACT,"每年8月23日付息,节假日顺延",10.0000,"5,000,000,000.0000"
091900022.IB,19海通证券金融债01,2.4055,100.5497,101.9521,2.5510,0.5699,100.0000,AAA,2022-08-29,固定利率,单利,3.39%,1,8月29日,3.0000,3,ACT/ACT,"每年8月29日付息,节假日顺延",3.0000,"7,000,000,000.0000"
