,close,volume,boll_upper,expma_expma,ma_ma
2021-12-14 09:30:00,6.9,1519100.0,7.0195189,6.9765009,6.9848
2021-12-14 09:31:00,6.94,567100.0,7.020541,6.9730246,6.984
2021-12-14 09:32:00,6.91,403200.0,7.0241225,6.9670223,6.9828
2021-12-14 09:33:00,6.89,539000.0,7.0302424,6.9596868,6.981
2021-12-14 09:34:00,6.89,475300.0,7.0339784,6.95305,6.9794
2021-12-14 09:35:00,6.89,265800.0,7.0360851,6.9470452,6.9776
2021-12-14 09:36:00,6.93,516209.0,7.0341343,6.9454219,6.9764
2021-12-14 09:37:00,6.94,93900.0,7.0317221,6.9449055,6.9756
2021-12-14 09:38:00,6.94,179200.0,7.0300812,6.9444383,6.9746
2021-12-14 09:39:00,6.94,122400.0,7.028303,6.9440156,6.9734
2021-12-14 09:40:00,6.92,74600.0,7.0256407,6.9417284,6.9718
2021-12-14 09:41:00,6.93,1119200.0,7.0234816,6.9406114,6.9706
2021-12-14 09:42:00,6.95,183600.0,7.0223329,6.9415056,6.97
2021-12-14 09:43:00,6.96,204300.0,7.0216321,6.9432669,6.9694
2021-12-14 09:44:00,6.98,298400.0,7.0225574,6.9467653,6.969
2021-12-14 09:45:00,7.0,370300.0,7.0259137,6.9518353,6.969
2021-12-14 09:46:00,6.98,285660.0,7.0267858,6.9545176,6.9686
2021-12-14 09:47:00,6.98,111300.0,7.0276465,6.9569445,6.9682
2021-12-14 09:48:00,6.99,108900.0,7.0287088,6.9600927,6.968
2021-12-14 09:49:00,6.98,155700.0,7.0276465,6.9619886,6.9678
2021-12-14 09:50:00,6.98,103600.0,7.0265695,6.963704,6.9674
2021-12-14 09:51:00,6.96,105300.0,7.0225574,6.9633512,6.9668
2021-12-14 09:52:00,6.96,69400.0,7.0197424,6.9630321,6.9662
2021-12-14 09:53:00,6.96,68800.0,7.0168054,6.9627433,6.9658
2021-12-14 09:54:00,6.94,183500.0,7.0112699,6.9605773,6.9648
2021-12-14 09:55:00,6.93,77000.0,7.0093117,6.9576651,6.9636
2021-12-14 09:56:00,6.93,135400.0,7.0081414,6.9550304,6.9622
2021-12-14 09:57:00,6.93,87100.0,7.0080391,6.9526465,6.961
2021-12-14 09:58:00,6.93,81100.0,7.0074495,6.9504897,6.9598
2021-12-14 09:59:00,6.94,66200.0,7.004943,6.9494907,6.9588
2021-12-14 10:00:00,6.92,106600.0,7.0022213,6.9466821,6.9574
2021-12-14 10:01:00,6.93,89200.0,6.9985929,6.9450933,6.9562
2021-12-14 10:02:00,6.94,61500.0,6.9984229,6.9446082,6.9554
2021-12-14 10:03:00,6.93,129400.0,6.9985929,6.943217,6.9544
2021-12-14 10:04:00,6.92,160700.0,6.9992045,6.9410058,6.953
2021-12-14 10:05:00,6.92,94900.0,6.9997291,6.9390053,6.9518
2021-12-14 10:06:00,6.91,214500.0,7.0004317,6.9362429,6.9506
2021-12-14 10:07:00,6.91,167500.0,7.0014347,6.9337435,6.9494
2021-12-14 10:08:00,6.91,451300.0,7.0019923,6.9314823,6.9482
2021-12-14 10:09:00,6.92,45500.0,7.0011644,6.9303887,6.9472
2021-12-14 10:10:00,6.94,81200.0,6.9978319,6.9313041,6.9466
2021-12-14 10:11:00,6.93,36900.0,6.9902503,6.9311799,6.9458
2021-12-14 10:12:00,6.92,16200.0,6.9859467,6.9301151,6.9446
2021-12-14 10:13:00,6.92,38900.0,6.9810599,6.9291518,6.9432
2021-12-14 10:14:00,6.92,43300.0,6.9730694,6.9282802,6.9418
2021-12-14 10:15:00,6.91,140500.0,6.9666287,6.9265392,6.94
2021-12-14 10:16:00,6.91,32700.0,6.9587626,6.924964,6.9384
2021-12-14 10:17:00,6.89,206500.0,6.9568424,6.9216341,6.9364
