,Symbol,Latest Bond Rating,Coupon Description,calculated_dirty_price,FULL,fv_bond,,HPR
34,032100768.IB,,4.28%,106.0686821,103.8632,108.6931679,,0.046503169
35,032100595.IB,,4.00%,105.6332177,104.2857,108.2469287,,0.03798439
36,1480174.IB,AAA,5.78%,111.222572,111.5484,113.9745819,,0.021750037
37,031900299.IB,,5.10%,109.3698179,107.3543,112.0759846,,0.043982258
38,032100380.IB,,4.07%,106.3659769,105.1921,108.9978188,,0.036178751
39,1780019.IB,AA,5.79%,111.448974,64.845,114.2065857,,0.761224238
40,101900218.IB,AAA,3.73%,105.6430344,105.8945,108.2569882,,0.022309829
41,032280049.IB,,3.68%,102.1299787,100.373,104.6570081,,0.042680881
42,102280088.IB,AA+,4.50%,103.7476534,100.6356,106.3147093,,0.056432409
43,1380378.IB,AAA,5.80%,106.5166687,106.7703,109.1522392,,0.022309005
44,1380372.IB,AAA,5.69%,106.363955,106.5634,108.9957468,,0.022825349
45,032000883.IB,,5.07%,105.5147683,103.8755,108.1255485,,0.040914831
46,1380304.IB,AAA,5.32%,106.100492,106.3437,108.7257649,,0.02239968
47,102101642.IB,AAA,5.24%,106.3738965,105.5348,109.0059343,,0.032890897
48,1380251.IB,AAA,5.10%,106.1560354,106.3453,108.7826826,,0.022919514
49,032100113.IB,,4.65%,103.1454089,102.193,105.6975634,,0.034293576
50,200009.IB,,2.36%,101.1731773,101.7417,103.6765323,,0.019017102
51,210008.IB,,2.57%,101.9141057,102.4321,104.4357937,,0.019561189
52,102000991.IB,AAA,3.65%,104.1042238,102.9028,106.6801025,,0.03670748
53,200003.IB,,2.24%,101.8299977,102.2567,104.3496046,,0.020467164
54,032000098.IB,,3.70%,104.8179867,103.9904,107.4115262,,0.032898481
55,210302.IB,,2.75%,100.4655127,100.8978,102.9513578,,0.02035285
56,102000011.IB,AAA,4.33%,102.0129539,101.6524,104.5370877,,0.028377959
57,200018.IB,,2.93%,100.8666883,101.28,103.3624598,,0.020561412
58,031759028.IB,,6.70%,104.6753896,103.6827,107.2654008,,0.03455447
59,190308.IB,,3.23%,101.4124377,101.7476,103.9217128,,0.021367706
60,092018003.IB,,3.25%,101.8286334,102.0697,104.3482065,,0.022323045
61,200011.IB,,2.64%,101.4169808,101.6486,103.9263683,,0.02240826
62,031900580.IB,,7.50%,106.3332986,105.9433,108.9643319,,0.028515554
63,190407.IB,,3.12%,102.0589936,102.2541,104.5842666,,0.022788002
64,170014.IB,,3.47%,102.4474897,102.7198,104.9823753,,0.022026672
65,101900671.IB,AA+,4.66%,104.0520932,103.9923,106.626682,,0.025332472
66,150412.IB,,4.18%,103.6031265,103.7657,106.1666063,,0.023137765
67,170409.IB,,4.13%,103.6593176,103.7809,106.2241878,,0.023542751
68,150209.IB,,4.25%,103.8329777,103.9377,106.4021449,,0.023710789
69,200302.IB,,2.05%,101.6816827,101.7623,104.1976198,,0.023931454
70,101900366.IB,AA+,4.59%,104.2193408,104.1481,106.7980679,,0.025444227
71,031900218.IB,,5.00%,104.7786978,104.7691,107.3712652,,0.024837144
72,032000196.IB,,3.85%,103.627338,103.5448,106.1914169,,0.025560114
73,031900183.IB,,5.38%,105.2055945,105.213,107.8087247,,0.02467114
74,101900203.IB,AA+,4.37%,104.3198265,104.2947,106.9010399,,0.024990147
75,200002.IB,,2.20%,102.1463344,102.1701,104.6737685,,0.024504904
