,open,high,low,close,volume,expma_expma
2021-12-14 09:30:00,6.93,6.94,6.84,6.9,1519100.0,6.9718483
2021-12-14 09:31:00,6.88,6.95,6.88,6.94,567100.0,6.9669486
2021-12-14 09:32:00,6.95,6.95,6.91,6.91,403200.0,6.9581873
2021-12-14 09:33:00,6.92,6.93,6.88,6.89,539000.0,6.9476969
2021-12-14 09:34:00,6.89,6.9,6.87,6.89,475300.0,6.9388205
2021-12-14 09:35:00,6.9,6.9,6.89,6.89,265800.0,6.9313096
2021-12-14 09:36:00,6.89,6.93,6.89,6.93,516209.0,6.9311081
2021-12-14 09:37:00,6.94,6.95,6.92,6.94,93900.0,6.9324761
2021-12-14 09:38:00,6.94,6.95,6.94,6.94,179200.0,6.9336336
2021-12-14 09:39:00,6.94,6.94,6.93,6.94,122400.0,6.9346131
2021-12-14 09:40:00,6.94,6.94,6.92,6.92,74600.0,6.9323649
2021-12-14 09:41:00,6.93,6.94,6.9,6.93,1119200.0,6.9320011
2021-12-14 09:42:00,6.92,6.96,6.92,6.95,183600.0,6.9347702
2021-12-14 09:43:00,6.96,6.97,6.95,6.96,204300.0,6.9386517
2021-12-14 09:44:00,6.95,6.98,6.95,6.98,298400.0,6.9450129
2021-12-14 09:45:00,6.98,7.0,6.97,7.0,370300.0,6.9534725
2021-12-14 09:46:00,7.0,7.01,6.98,6.98,285660.0,6.9575537
2021-12-14 09:47:00,6.98,6.99,6.98,6.98,111300.0,6.9610069
2021-12-14 09:48:00,6.99,6.99,6.98,6.99,108900.0,6.9654674
2021-12-14 09:49:00,7.0,7.0,6.98,6.98,155700.0,6.9677032
2021-12-14 09:50:00,6.98,6.98,6.97,6.98,103600.0,6.969595
2021-12-14 09:51:00,6.98,6.98,6.96,6.96,105300.0,6.9681189
2021-12-14 09:52:00,6.97,6.97,6.96,6.96,69400.0,6.9668698
2021-12-14 09:53:00,6.96,6.98,6.96,6.96,68800.0,6.9658129
2021-12-14 09:54:00,6.96,6.96,6.93,6.94,183500.0,6.9618417
2021-12-14 09:55:00,6.94,6.94,6.93,6.93,77000.0,6.956943
2021-12-14 09:56:00,6.93,6.94,6.92,6.93,135400.0,6.9527979
2021-12-14 09:57:00,6.93,6.94,6.92,6.93,87100.0,6.9492905
2021-12-14 09:58:00,6.93,6.94,6.92,6.93,81100.0,6.9463228
2021-12-14 09:59:00,6.93,6.94,6.92,6.94,66200.0,6.94535
2021-12-14 10:00:00,6.94,6.94,6.92,6.92,106600.0,6.94145
2021-12-14 10:01:00,6.92,6.93,6.92,6.93,89200.0,6.9396885
2021-12-14 10:02:00,6.93,6.94,6.92,6.94,61500.0,6.9397364
