wind_code,date,i_weight
600009.SH,2021-12-01,0.2182
600010.SH,2021-12-01,0.3301
600011.SH,2021-12-01,0.1483
600015.SH,2021-12-01,0.1761
600016.SH,2021-12-01,0.4199
600018.SH,2021-12-01,0.0851
600019.SH,2021-12-01,0.3043
600025.SH,2021-12-01,0.055
600028.SH,2021-12-01,0.2788
600029.SH,2021-12-01,0.1983
600030.SH,2021-12-01,1.0417
600031.SH,2021-12-01,0.661
600036.SH,2021-12-01,3.1227
600048.SH,2021-12-01,0.5107
600050.SH,2021-12-01,0.3672
600061.SH,2021-12-01,0.1053
600079.SH,2021-12-01,0.1037
600085.SH,2021-12-01,0.1284
600104.SH,2021-12-01,0.3572
600109.SH,2021-12-01,0.1315
600111.SH,2021-12-01,0.581
600115.SH,2021-12-01,0.1305
600132.SH,2021-12-01,0.1819
600143.SH,2021-12-01,0.1252
600150.SH,2021-12-01,0.2135
600161.SH,2021-12-01,0.1036
600176.SH,2021-12-01,0.2146
600183.SH,2021-12-01,0.1354
600196.SH,2021-12-01,0.3311
600276.SH,2021-12-01,1.1414
600309.SH,2021-12-01,0.7527
600332.SH,2021-12-01,0.1043
600346.SH,2021-12-01,0.2271
600352.SH,2021-12-01,0.1668
600362.SH,2021-12-01,0.1204
600383.SH,2021-12-01,0.118
600406.SH,2021-12-01,0.5769
600426.SH,2021-12-01,0.2194
600436.SH,2021-12-01,0.6592
600438.SH,2021-12-01,0.6224
600489.SH,2021-12-01,0.0813
600519.SH,2021-12-01,6.1275
600547.SH,2021-12-01,0.1738
600570.SH,2021-12-01,0.3455
600584.SH,2021-12-01,0.2097
600585.SH,2021-12-01,0.4439
600588.SH,2021-12-01,0.2706
600600.SH,2021-12-01,0.1765
600606.SH,2021-12-01,0.0803
600655.SH,2021-12-01,0.0749
600660.SH,2021-12-01,0.3208
600690.SH,2021-12-01,0.5293
600741.SH,2021-12-01,0.2033
600745.SH,2021-12-01,0.3968
600760.SH,2021-12-01,0.2162
600763.SH,2021-12-01,0.2226
600795.SH,2021-12-01,0.1166
600809.SH,2021-12-01,0.7695
600837.SH,2021-12-01,0.5808
600845.SH,2021-12-01,0.1492
600848.SH,2021-12-01,0.0689
600872.SH,2021-12-01,0.0909
600886.SH,2021-12-01,0.1437
600887.SH,2021-12-01,1.188
600893.SH,2021-12-01,0.3482
600900.SH,2021-12-01,1.1208
600918.SH,2021-12-01,0.0409
600919.SH,2021-12-01,0.356
600926.SH,2021-12-01,0.2041
600958.SH,2021-12-01,0.3056
600989.SH,2021-12-01,0.1883
600999.SH,2021-12-01,0.3225
601006.SH,2021-12-01,0.1843
601009.SH,2021-12-01,0.2313
601012.SH,2021-12-01,1.8371
601021.SH,2021-12-01,0.1035
601066.SH,2021-12-01,0.1395
601088.SH,2021-12-01,0.3346
601100.SH,2021-12-01,0.2012
601108.SH,2021-12-01,0.1333
601111.SH,2021-12-01,0.122
601138.SH,2021-12-01,0.1694
601155.SH,2021-12-01,0.1432
601162.SH,2021-12-01,0.0853
601166.SH,2021-12-01,1.3299
601169.SH,2021-12-01,0.3294
601186.SH,2021-12-01,0.1707
601211.SH,2021-12-01,0.3847
601216.SH,2021-12-01,0.094
601225.SH,2021-12-01,0.2503
601229.SH,2021-12-01,0.3609
601231.SH,2021-12-01,0.0566
601236.SH,2021-12-01,0.054
601238.SH,2021-12-01,0.1771
601288.SH,2021-12-01,0.4249
601318.SH,2021-12-01,2.6718
601319.SH,2021-12-01,0.0589
601328.SH,2021-12-01,0.6379
601336.SH,2021-12-01,0.1615
601360.SH,2021-12-01,0.1312
601377.SH,2021-12-01,0.2379
601390.SH,2021-12-01,0.2765
601398.SH,2021-12-01,0.8137
601600.SH,2021-12-01,0.1743
601601.SH,2021-12-01,0.4714
601607.SH,2021-12-01,0.1072
601618.SH,2021-12-01,0.1377
601628.SH,2021-12-01,0.2466
601633.SH,2021-12-01,0.3563
601658.SH,2021-12-01,0.2855
601668.SH,2021-12-01,0.4965
601669.SH,2021-12-01,0.2575
601688.SH,2021-12-01,0.4219
601696.SH,2021-12-01,0.0575
601698.SH,2021-12-01,0.0335
601766.SH,2021-12-01,0.3739
601788.SH,2021-12-01,0.1447
601799.SH,2021-12-01,0.1513
601800.SH,2021-12-01,0.1263
601808.SH,2021-12-01,0.0406
601816.SH,2021-12-01,0.4511
601818.SH,2021-12-01,0.2838
601838.SH,2021-12-01,0.1217
601857.SH,2021-12-01,0.2383
601877.SH,2021-12-01,0.2862
601878.SH,2021-12-01,0.1003
601881.SH,2021-12-01,0.0686
601888.SH,2021-12-01,0.9996
601899.SH,2021-12-01,0.707
601901.SH,2021-12-01,0.162
601916.SH,2021-12-01,0.1455
601919.SH,2021-12-01,0.5426
601933.SH,2021-12-01,0.0753
601939.SH,2021-12-01,0.1962
601985.SH,2021-12-01,0.1876
601988.SH,2021-12-01,0.3255
601989.SH,2021-12-01,0.191
601990.SH,2021-12-01,0.0893
601995.SH,2021-12-01,0.0654
601998.SH,2021-12-01,0.0701
603019.SH,2021-12-01,0.1433
603087.SH,2021-12-01,0.0225
